Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
416.49	0.10000	0.029139	34.319	46.351	49.783	136.61	26.989	35.840	500.66	39.466	13.928	0.028256	vapor
417.16	0.10000	0.029090	34.376	46.369	49.807	136.67	26.984	35.831	501.07	39.193	13.954	0.028314	vapor
417.82	0.10000	0.029042	34.433	46.387	49.831	136.73	26.980	35.821	501.48	38.922	13.981	0.028373	vapor
418.49	0.10000	0.028994	34.490	46.405	49.854	136.79	26.975	35.812	501.89	38.655	14.007	0.028431	vapor
419.16	0.10000	0.028946	34.547	46.424	49.878	136.84	26.971	35.803	502.30	38.390	14.034	0.028490	vapor
419.82	0.10000	0.028898	34.604	46.442	49.902	136.90	26.967	35.794	502.70	38.129	14.060	0.028549	vapor
420.49	0.10000	0.028850	34.662	46.460	49.926	136.96	26.963	35.786	503.11	37.869	14.087	0.028608	vapor
421.16	0.10000	0.028803	34.719	46.478	49.950	137.01	26.960	35.777	503.52	37.613	14.113	0.028667	vapor
421.82	0.10000	0.028756	34.776	46.496	49.974	137.07	26.956	35.769	503.92	37.359	14.140	0.028726	vapor
422.49	0.10000	0.028709	34.833	46.514	49.998	137.13	26.953	35.761	504.33	37.108	14.166	0.028785	vapor
423.16	0.10000	0.028662	34.890	46.532	50.021	137.18	26.949	35.754	504.73	36.859	14.193	0.028844	vapor
423.82	0.10000	0.028615	34.947	46.551	50.045	137.24	26.946	35.746	505.14	36.613	14.219	0.028903	vapor
424.49	0.10000	0.028568	35.004	46.569	50.069	137.29	26.943	35.739	505.54	36.369	14.246	0.028962	vapor
425.16	0.10000	0.028522	35.061	46.587	50.093	137.35	26.941	35.732	505.94	36.128	14.272	0.029021	vapor
425.82	0.10000	0.028476	35.118	46.605	50.117	137.41	26.938	35.725	506.35	35.889	14.299	0.029080	vapor
426.49	0.10000	0.028429	35.175	46.623	50.141	137.46	26.935	35.718	506.75	35.653	14.325	0.029140	vapor
427.16	0.10000	0.028383	35.232	46.641	50.164	137.52	26.933	35.712	507.15	35.418	14.352	0.029199	vapor
427.82	0.10000	0.028338	35.289	46.659	50.188	137.57	26.931	35.706	507.55	35.187	14.378	0.029259	vapor
428.49	0.10000	0.028292	35.346	46.677	50.212	137.63	26.929	35.699	507.95	34.957	14.405	0.029318	vapor
429.16	0.10000	0.028246	35.403	46.696	50.236	137.69	26.927	35.693	508.35	34.730	14.432	0.029378	vapor
429.82	0.10000	0.028201	35.460	46.714	50.260	137.74	26.925	35.688	508.75	34.505	14.458	0.029437	vapor
430.49	0.10000	0.028156	35.516	46.732	50.283	137.80	26.923	35.682	509.15	34.283	14.485	0.029497	vapor
431.16	0.10000	0.028111	35.573	46.750	50.307	137.85	26.921	35.677	509.55	34.062	14.512	0.029557	vapor
431.82	0.10000	0.028066	35.630	46.768	50.331	137.91	26.920	35.671	509.95	33.844	14.538	0.029617	vapor
432.49	0.10000	0.028021	35.687	46.786	50.355	137.96	26.919	35.666	510.34	33.627	14.565	0.029676	vapor
433.16	0.10000	0.027977	35.744	46.804	50.378	138.02	26.917	35.661	510.74	33.413	14.591	0.029736	vapor
433.82	0.10000	0.027932	35.801	46.822	50.402	138.07	26.916	35.657	511.14	33.201	14.618	0.029796	vapor
434.49	0.10000	0.027888	35.858	46.840	50.426	138.13	26.915	35.652	511.53	32.991	14.645	0.029856	vapor
435.16	0.10000	0.027844	35.914	46.858	50.450	138.18	26.914	35.648	511.93	32.783	14.671	0.029916	vapor
435.82	0.10000	0.027800	35.971	46.876	50.474	138.24	26.913	35.643	512.32	32.577	14.698	0.029977	vapor
436.49	0.10000	0.027756	36.028	46.895	50.497	138.29	26.913	35.639	512.72	32.373	14.725	0.030037	vapor
437.16	0.10000	0.027713	36.085	46.913	50.521	138.34	26.912	35.635	513.11	32.171	14.751	0.030097	vapor
437.82	0.10000	0.027669	36.142	46.931	50.545	138.40	26.912	35.631	513.50	31.971	14.778	0.030157	vapor
438.49	0.10000	0.027626	36.198	46.949	50.569	138.45	26.911	35.628	513.89	31.773	14.805	0.030218	vapor
439.16	0.10000	0.027582	36.255	46.967	50.592	138.51	26.911	35.624	514.29	31.577	14.832	0.030278	vapor
439.82	0.10000	0.027539	36.312	46.985	50.616	138.56	26.911	35.620	514.68	31.382	14.858	0.030339	vapor
440.49	0.10000	0.027496	36.369	47.003	50.640	138.61	26.911	35.617	515.07	31.190	14.885	0.030399	vapor
441.16	0.10000	0.027453	36.425	47.021	50.664	138.67	26.911	35.614	515.46	30.999	14.912	0.030460	vapor
441.82	0.10000	0.027411	36.482	47.039	50.687	138.72	26.911	35.611	515.85	30.810	14.939	0.030521	vapor
442.49	0.10000	0.027368	36.539	47.057	50.711	138.78	26.911	35.608	516.24	30.623	14.965	0.030581	vapor
443.16	0.10000	0.027326	36.595	47.075	50.735	138.83	26.911	35.605	516.63	30.437	14.992	0.030642	vapor
443.82	0.10000	0.027284	36.652	47.093	50.759	138.88	26.912	35.603	517.02	30.253	15.019	0.030703	vapor
444.49	0.10000	0.027242	36.709	47.111	50.782	138.94	26.912	35.600	517.41	30.071	15.046	0.030764	vapor
445.16	0.10000	0.027200	36.765	47.129	50.806	138.99	26.913	35.598	517.79	29.891	15.072	0.030825	vapor
445.82	0.10000	0.027158	36.822	47.148	50.830	139.04	26.914	35.595	518.18	29.712	15.099	0.030886	vapor
446.49	0.10000	0.027116	36.879	47.166	50.853	139.10	26.914	35.593	518.57	29.535	15.126	0.030947	vapor
447.16	0.10000	0.027074	36.935	47.184	50.877	139.15	26.915	35.591	518.96	29.359	15.153	0.031008	vapor
447.82	0.10000	0.027033	36.992	47.202	50.901	139.20	26.916	35.589	519.34	29.186	15.180	0.031069	vapor
448.49	0.10000	0.026992	37.048	47.220	50.925	139.26	26.917	35.588	519.73	29.013	15.207	0.031130	vapor
449.16	0.10000	0.026950	37.105	47.238	50.948	139.31	26.918	35.586	520.11	28.843	15.233	0.031192	vapor
449.82	0.10000	0.026909	37.162	47.256	50.972	139.36	26.919	35.584	520.50	28.673	15.260	0.031253	vapor
450.49	0.10000	0.026869	37.218	47.274	50.996	139.41	26.920	35.583	520.88	28.506	15.287	0.031314	vapor
451.16	0.10000	0.026828	37.275	47.292	51.020	139.47	26.922	35.581	521.27	28.340	15.314	0.031376	vapor
451.82	0.10000	0.026787	37.331	47.310	51.043	139.52	26.923	35.580	521.65	28.175	15.341	0.031437	vapor
452.49	0.10000	0.026747	37.388	47.328	51.067	139.57	26.925	35.579	522.03	28.012	15.368	0.031499	vapor
453.16	0.10000	0.026706	37.444	47.346	51.091	139.62	26.926	35.578	522.41	27.850	15.395	0.031561	vapor
453.82	0.10000	0.026666	37.501	47.364	51.114	139.68	26.928	35.577	522.80	27.690	15.421	0.031622	vapor
454.49	0.10000	0.026626	37.558	47.382	51.138	139.73	26.929	35.576	523.18	27.531	15.448	0.031684	vapor
455.16	0.10000	0.026586	37.614	47.400	51.162	139.78	26.931	35.575	523.56	27.373	15.475	0.031746	vapor
455.82	0.10000	0.026546	37.671	47.418	51.186	139.83	26.933	35.575	523.94	27.217	15.502	0.031808	vapor
456.49	0.10000	0.026506	37.727	47.437	51.209	139.88	26.935	35.574	524.32	27.062	15.529	0.031870	vapor
457.16	0.10000	0.026467	37.784	47.455	51.233	139.94	26.937	35.574	524.70	26.909	15.556	0.031932	vapor
457.82	0.10000	0.026427	37.840	47.473	51.257	139.99	26.939	35.573	525.08	26.757	15.583	0.031994	vapor
458.49	0.10000	0.026388	37.897	47.491	51.280	140.04	26.941	35.573	525.46	26.606	15.610	0.032056	vapor
459.16	0.10000	0.026348	37.953	47.509	51.304	140.09	26.943	35.573	525.84	26.457	15.637	0.032118	vapor
459.82	0.10000	0.026309	38.010	47.527	51.328	140.14	26.945	35.573	526.22	26.309	15.664	0.032180	vapor
460.49	0.10000	0.026270	38.066	47.545	51.352	140.19	26.948	35.573	526.59	26.162	15.691	0.032242	vapor
461.16	0.10000	0.026231	38.122	47.563	51.375	140.25	26.950	35.573	526.97	26.016	15.718	0.032305	vapor
461.82	0.10000	0.026192	38.179	47.581	51.399	140.30	26.952	35.573	527.35	25.872	15.745	0.032367	vapor
462.49	0.10000	0.026154	38.235	47.599	51.423	140.35	26.955	35.573	527.72	25.729	15.772	0.032430	vapor
463.16	0.10000	0.026115	38.292	47.617	51.446	140.40	26.957	35.573	528.10	25.587	15.799	0.032492	vapor
463.82	0.10000	0.026077	38.348	47.635	51.470	140.45	26.960	35.574	528.48	25.446	15.826	0.032555	vapor
464.49	0.10000	0.026039	38.405	47.653	51.494	140.50	26.963	35.574	528.85	25.307	15.853	0.032617	vapor
465.16	0.10000	0.026000	38.461	47.671	51.518	140.55	26.965	35.575	529.23	25.169	15.880	0.032680	vapor
465.82	0.10000	0.025962	38.517	47.690	51.541	140.60	26.968	35.576	529.60	25.032	15.907	0.032743	vapor
466.49	0.10000	0.025924	38.574	47.708	51.565	140.66	26.971	35.576	529.98	24.896	15.934	0.032805	vapor
467.16	0.10000	0.025887	38.630	47.726	51.589	140.71	26.974	35.577	530.35	24.761	15.961	0.032868	vapor
467.82	0.10000	0.025849	38.687	47.744	51.612	140.76	26.977	35.578	530.72	24.627	15.988	0.032931	vapor
468.49	0.10000	0.025811	38.743	47.762	51.636	140.81	26.980	35.579	531.10	24.495	16.015	0.032994	vapor
469.16	0.10000	0.025774	38.799	47.780	51.660	140.86	26.983	35.580	531.47	24.363	16.042	0.033057	vapor
469.82	0.10000	0.025736	38.856	47.798	51.684	140.91	26.986	35.581	531.84	24.233	16.069	0.033120	vapor
470.49	0.10000	0.025699	38.912	47.816	51.707	140.96	26.989	35.582	532.21	24.103	16.096	0.033183	vapor
471.16	0.10000	0.025662	38.968	47.834	51.731	141.01	26.992	35.583	532.58	23.975	16.123	0.033246	vapor
471.82	0.10000	0.025625	39.025	47.852	51.755	141.06	26.995	35.585	532.96	23.848	16.150	0.033309	vapor
472.49	0.10000	0.025588	39.081	47.870	51.778	141.11	26.999	35.586	533.33	23.722	16.177	0.033373	vapor
473.16	0.10000	0.025551	39.137	47.888	51.802	141.16	27.002	35.588	533.70	23.597	16.204	0.033436	vapor
473.82	0.10000	0.025514	39.194	47.907	51.826	141.21	27.005	35.589	534.07	23.473	16.231	0.033499	vapor
474.49	0.10000	0.025478	39.250	47.925	51.850	141.26	27.009	35.591	534.44	23.350	16.258	0.033563	vapor
475.15	0.10000	0.025441	39.306	47.943	51.873	141.31	27.012	35.592	534.81	23.227	16.285	0.033626	vapor
475.82	0.10000	0.025405	39.363	47.961	51.897	141.36	27.016	35.594	535.17	23.106	16.313	0.033690	vapor
476.49	0.10000	0.025369	39.419	47.979	51.921	141.41	27.019	35.596	535.54	22.986	16.340	0.033754	vapor
477.15	0.10000	0.025332	39.475	47.997	51.945	141.46	27.023	35.598	535.91	22.867	16.367	0.033817	vapor
477.82	0.10000	0.025296	39.531	48.015	51.968	141.51	27.027	35.599	536.28	22.749	16.394	0.033881	vapor
478.49	0.10000	0.025260	39.588	48.033	51.992	141.56	27.030	35.601	536.65	22.632	16.421	0.033945	vapor
479.15	0.10000	0.025224	39.644	48.051	52.016	141.61	27.034	35.603	537.01	22.515	16.448	0.034008	vapor
479.82	0.10000	0.025189	39.700	48.069	52.039	141.66	27.038	35.605	537.38	22.400	16.475	0.034072	vapor
480.49	0.10000	0.025153	39.757	48.088	52.063	141.71	27.042	35.608	537.75	22.285	16.502	0.034136	vapor
481.15	0.10000	0.025118	39.813	48.106	52.087	141.76	27.046	35.610	538.11	22.172	16.530	0.034200	vapor
481.82	0.10000	0.025082	39.869	48.124	52.111	141.81	27.050	35.612	538.48	22.059	16.557	0.034264	vapor
482.49	0.10000	0.025047	39.925	48.142	52.134	141.86	27.053	35.614	538.84	21.947	16.584	0.034328	vapor
483.15	0.10000	0.025012	39.982	48.160	52.158	141.90	27.057	35.617	539.21	21.836	16.611	0.034393	vapor
483.82	0.10000	0.024976	40.038	48.178	52.182	141.95	27.062	35.619	539.57	21.726	16.638	0.034457	vapor
484.49	0.10000	0.024941	40.094	48.196	52.206	142.00	27.066	35.622	539.94	21.617	16.665	0.034521	vapor
485.15	0.10000	0.024906	40.150	48.214	52.229	142.05	27.070	35.624	540.30	21.509	16.693	0.034585	vapor
485.82	0.10000	0.024872	40.206	48.233	52.253	142.10	27.074	35.627	540.66	21.401	16.720	0.034650	vapor
486.49	0.10000	0.024837	40.263	48.251	52.277	142.15	27.078	35.629	541.03	21.294	16.747	0.034714	vapor
487.15	0.10000	0.024802	40.319	48.269	52.301	142.20	27.082	35.632	541.39	21.189	16.774	0.034779	vapor
487.82	0.10000	0.024768	40.375	48.287	52.324	142.25	27.087	35.635	541.75	21.084	16.801	0.034843	vapor
488.49	0.10000	0.024733	40.431	48.305	52.348	142.30	27.091	35.638	542.11	20.979	16.829	0.034908	vapor
489.15	0.10000	0.024699	40.488	48.323	52.372	142.34	27.095	35.640	542.48	20.876	16.856	0.034972	vapor
489.82	0.10000	0.024665	40.544	48.341	52.396	142.39	27.100	35.643	542.84	20.773	16.883	0.035037	vapor
490.49	0.10000	0.024631	40.600	48.359	52.419	142.44	27.104	35.646	543.20	20.671	16.910	0.035102	vapor
491.15	0.10000	0.024597	40.656	48.378	52.443	142.49	27.108	35.649	543.56	20.570	16.937	0.035167	vapor
491.82	0.10000	0.024563	40.712	48.396	52.467	142.54	27.113	35.652	543.92	20.470	16.965	0.035232	vapor
492.49	0.10000	0.024529	40.768	48.414	52.491	142.59	27.117	35.655	544.28	20.370	16.992	0.035297	vapor
493.15	0.10000	0.024495	40.825	48.432	52.515	142.63	27.122	35.658	544.64	20.271	17.019	0.035362	vapor
493.82	0.10000	0.024461	40.881	48.450	52.538	142.68	27.126	35.662	545.00	20.173	17.046	0.035427	vapor
494.49	0.10000	0.024428	40.937	48.468	52.562	142.73	27.131	35.665	545.36	20.076	17.074	0.035492	vapor
495.15	0.10000	0.024394	40.993	48.487	52.586	142.78	27.136	35.668	545.72	19.979	17.101	0.035557	vapor
495.82	0.10000	0.024361	41.049	48.505	52.610	142.83	27.140	35.671	546.07	19.883	17.128	0.035622	vapor
496.49	0.10000	0.024328	41.105	48.523	52.633	142.87	27.145	35.675	546.43	19.788	17.155	0.035687	vapor
497.15	0.10000	0.024295	41.161	48.541	52.657	142.92	27.150	35.678	546.79	19.693	17.183	0.035753	vapor
497.82	0.10000	0.024261	41.218	48.559	52.681	142.97	27.155	35.681	547.15	19.600	17.210	0.035818	vapor
498.49	0.10000	0.024228	41.274	48.577	52.705	143.02	27.159	35.685	547.51	19.506	17.237	0.035883	vapor
499.15	0.10000	0.024196	41.330	48.596	52.729	143.07	27.164	35.688	547.86	19.414	17.264	0.035949	vapor
499.82	0.10000	0.024163	41.386	48.614	52.752	143.11	27.169	35.692	548.22	19.322	17.292	0.036014	vapor
500.49	0.10000	0.024130	41.442	48.632	52.776	143.16	27.174	35.696	548.57	19.231	17.319	0.036080	vapor
501.15	0.10000	0.024097	41.498	48.650	52.800	143.21	27.179	35.699	548.93	19.141	17.346	0.036145	vapor
501.82	0.10000	0.024065	41.554	48.668	52.824	143.26	27.184	35.703	549.29	19.051	17.374	0.036211	vapor
502.49	0.10000	0.024032	41.610	48.687	52.848	143.30	27.189	35.707	549.64	18.962	17.401	0.036277	vapor
503.15	0.10000	0.024000	41.667	48.705	52.871	143.35	27.194	35.710	550.00	18.873	17.428	0.036343	vapor
503.82	0.10000	0.023968	41.723	48.723	52.895	143.40	27.199	35.714	550.35	18.785	17.456	0.036408	vapor
504.49	0.10000	0.023936	41.779	48.741	52.919	143.45	27.204	35.718	550.70	18.698	17.483	0.036474	vapor
505.15	0.10000	0.023904	41.835	48.759	52.943	143.49	27.209	35.722	551.06	18.612	17.510	0.036540	vapor
505.82	0.10000	0.023872	41.891	48.778	52.967	143.54	27.214	35.726	551.41	18.526	17.538	0.036606	vapor
506.49	0.10000	0.023840	41.947	48.796	52.990	143.59	27.219	35.730	551.76	18.440	17.565	0.036672	vapor
507.15	0.10000	0.023808	42.003	48.814	53.014	143.63	27.224	35.734	552.12	18.355	17.592	0.036738	vapor
507.82	0.10000	0.023776	42.059	48.832	53.038	143.68	27.229	35.738	552.47	18.271	17.620	0.036804	vapor
508.49	0.10000	0.023744	42.115	48.850	53.062	143.73	27.234	35.742	552.82	18.188	17.647	0.036871	vapor
509.15	0.10000	0.023713	42.171	48.869	53.086	143.77	27.240	35.746	553.17	18.105	17.674	0.036937	vapor
509.82	0.10000	0.023681	42.227	48.887	53.110	143.82	27.245	35.750	553.53	18.022	17.702	0.037003	vapor
510.49	0.10000	0.023650	42.283	48.905	53.133	143.87	27.250	35.754	553.88	17.940	17.729	0.037070	vapor
511.15	0.10000	0.023619	42.339	48.923	53.157	143.91	27.256	35.758	554.23	17.859	17.756	0.037136	vapor
511.82	0.10000	0.023587	42.396	48.942	53.181	143.96	27.261	35.762	554.58	17.778	17.784	0.037202	vapor
512.49	0.10000	0.023556	42.452	48.960	53.205	144.01	27.266	35.767	554.93	17.698	17.811	0.037269	vapor
513.15	0.10000	0.023525	42.508	48.978	53.229	144.05	27.272	35.771	555.28	17.619	17.838	0.037336	vapor
513.82	0.10000	0.023494	42.564	48.996	53.253	144.10	27.277	35.775	555.63	17.540	17.866	0.037402	vapor
514.49	0.10000	0.023463	42.620	49.014	53.276	144.15	27.282	35.779	555.98	17.461	17.893	0.037469	vapor
515.15	0.10000	0.023433	42.676	49.033	53.300	144.19	27.288	35.784	556.33	17.383	17.920	0.037535	vapor
515.82	0.10000	0.023402	42.732	49.051	53.324	144.24	27.293	35.788	556.68	17.306	17.948	0.037602	vapor
516.49	0.10000	0.023371	42.788	49.069	53.348	144.29	27.299	35.793	557.03	17.229	17.975	0.037669	vapor
517.15	0.10000	0.023341	42.844	49.088	53.372	144.33	27.304	35.797	557.38	17.153	18.003	0.037736	vapor
517.82	0.10000	0.023310	42.900	49.106	53.396	144.38	27.310	35.802	557.72	17.077	18.030	0.037803	vapor
518.49	0.10000	0.023280	42.956	49.124	53.420	144.42	27.315	35.806	558.07	17.001	18.057	0.037870	vapor
519.15	0.10000	0.023249	43.012	49.142	53.444	144.47	27.321	35.811	558.42	16.927	18.085	0.037937	vapor
519.82	0.10000	0.023219	43.068	49.161	53.467	144.52	27.326	35.815	558.77	16.852	18.112	0.038004	vapor
520.49	0.10000	0.023189	43.124	49.179	53.491	144.56	27.332	35.820	559.11	16.778	18.140	0.038071	vapor
521.15	0.10000	0.023159	43.180	49.197	53.515	144.61	27.338	35.825	559.46	16.705	18.167	0.038138	vapor
521.82	0.10000	0.023129	43.236	49.215	53.539	144.65	27.343	35.829	559.81	16.632	18.194	0.038205	vapor
522.49	0.10000	0.023099	43.292	49.234	53.563	144.70	27.349	35.834	560.15	16.560	18.222	0.038273	vapor
523.15	0.10000	0.023069	43.348	49.252	53.587	144.75	27.355	35.839	560.50	16.488	18.249	0.038340	vapor
523.82	0.10000	0.023039	43.404	49.270	53.611	144.79	27.360	35.843	560.84	16.417	18.277	0.038407	vapor
524.49	0.10000	0.023010	43.460	49.289	53.635	144.84	27.366	35.848	561.19	16.346	18.304	0.038475	vapor
525.15	0.10000	0.022980	43.516	49.307	53.658	144.88	27.372	35.853	561.53	16.275	18.332	0.038542	vapor
525.82	0.10000	0.022951	43.572	49.325	53.682	144.93	27.378	35.858	561.88	16.205	18.359	0.038610	vapor
526.49	0.10000	0.022921	43.628	49.344	53.706	144.97	27.383	35.863	562.22	16.136	18.386	0.038678	vapor
527.15	0.10000	0.022892	43.684	49.362	53.730	145.02	27.389	35.868	562.57	16.067	18.414	0.038745	vapor
527.82	0.10000	0.022863	43.740	49.380	53.754	145.06	27.395	35.872	562.91	15.998	18.441	0.038813	vapor
528.49	0.10000	0.022833	43.796	49.398	53.778	145.11	27.401	35.877	563.25	15.930	18.469	0.038881	vapor
529.15	0.10000	0.022804	43.852	49.417	53.802	145.15	27.407	35.882	563.60	15.862	18.496	0.038948	vapor
529.82	0.10000	0.022775	43.908	49.435	53.826	145.20	27.413	35.887	563.94	15.795	18.524	0.039016	vapor
530.49	0.10000	0.022746	43.964	49.453	53.850	145.24	27.418	35.892	564.28	15.728	18.551	0.039084	vapor
531.15	0.10000	0.022717	44.019	49.472	53.874	145.29	27.424	35.897	564.62	15.662	18.579	0.039152	vapor
531.82	0.10000	0.022688	44.075	49.490	53.898	145.33	27.430	35.902	564.97	15.596	18.606	0.039220	vapor
532.49	0.10000	0.022660	44.131	49.508	53.922	145.38	27.436	35.907	565.31	15.530	18.633	0.039288	vapor
533.15	0.10000	0.022631	44.187	49.527	53.946	145.42	27.442	35.913	565.65	15.465	18.661	0.039356	vapor
533.82	0.10000	0.022602	44.243	49.545	53.969	145.47	27.448	35.918	565.99	15.400	18.688	0.039424	vapor
534.49	0.10000	0.022574	44.299	49.564	53.993	145.51	27.454	35.923	566.33	15.336	18.716	0.039492	vapor
535.15	0.10000	0.022545	44.355	49.582	54.017	145.56	27.460	35.928	566.67	15.272	18.743	0.039561	vapor
535.82	0.10000	0.022517	44.411	49.600	54.041	145.60	27.466	35.933	567.01	15.209	18.771	0.039629	vapor
536.49	0.10000	0.022489	44.467	49.619	54.065	145.65	27.472	35.938	567.35	15.146	18.798	0.039697	vapor
537.15	0.10000	0.022460	44.523	49.637	54.089	145.69	27.478	35.944	567.69	15.083	18.826	0.039766	vapor
537.82	0.10000	0.022432	44.579	49.655	54.113	145.74	27.484	35.949	568.03	15.021	18.853	0.039834	vapor
538.49	0.10000	0.022404	44.635	49.674	54.137	145.78	27.490	35.954	568.37	14.959	18.881	0.039903	vapor
539.15	0.10000	0.022376	44.691	49.692	54.161	145.83	27.496	35.959	568.71	14.897	18.908	0.039971	vapor
539.82	0.10000	0.022348	44.747	49.710	54.185	145.87	27.503	35.965	569.05	14.836	18.936	0.040040	vapor
540.49	0.10000	0.022320	44.803	49.729	54.209	145.92	27.509	35.970	569.39	14.775	18.963	0.040108	vapor
541.15	0.10000	0.022292	44.859	49.747	54.233	145.96	27.515	35.976	569.73	14.715	18.991	0.040177	vapor
541.82	0.10000	0.022265	44.914	49.766	54.257	146.00	27.521	35.981	570.06	14.655	19.018	0.040246	vapor
542.49	0.10000	0.022237	44.970	49.784	54.281	146.05	27.527	35.986	570.40	14.595	19.046	0.040315	vapor
543.15	0.10000	0.022209	45.026	49.802	54.305	146.09	27.533	35.992	570.74	14.536	19.073	0.040383	vapor
543.82	0.10000	0.022182	45.082	49.821	54.329	146.14	27.540	35.997	571.08	14.477	19.101	0.040452	vapor
544.49	0.10000	0.022154	45.138	49.839	54.353	146.18	27.546	36.003	571.41	14.419	19.128	0.040521	vapor
545.15	0.10000	0.022127	45.194	49.858	54.377	146.22	27.552	36.008	571.75	14.361	19.156	0.040590	vapor
545.82	0.10000	0.022100	45.250	49.876	54.401	146.27	27.558	36.014	572.09	14.303	19.183	0.040659	vapor
546.49	0.10000	0.022072	45.306	49.894	54.425	146.31	27.565	36.019	572.42	14.245	19.211	0.040728	vapor
547.15	0.10000	0.022045	45.362	49.913	54.449	146.36	27.571	36.025	572.76	14.188	19.238	0.040797	vapor
547.82	0.10000	0.022018	45.418	49.931	54.473	146.40	27.577	36.030	573.09	14.132	19.266	0.040867	vapor
548.49	0.10000	0.021991	45.473	49.950	54.497	146.44	27.583	36.036	573.43	14.075	19.293	0.040936	vapor
549.15	0.10000	0.021964	45.529	49.968	54.521	146.49	27.590	36.041	573.77	14.019	19.321	0.041005	vapor
549.82	0.10000	0.021937	45.585	49.987	54.545	146.53	27.596	36.047	574.10	13.963	19.348	0.041074	vapor
550.49	0.10000	0.021910	45.641	50.005	54.569	146.58	27.602	36.053	574.43	13.908	19.376	0.041144	vapor
551.15	0.10000	0.021883	45.697	50.024	54.593	146.62	27.609	36.058	574.77	13.853	19.403	0.041213	vapor
551.82	0.10000	0.021857	45.753	50.042	54.617	146.66	27.615	36.064	575.10	13.798	19.431	0.041282	vapor
552.49	0.10000	0.021830	45.809	50.060	54.641	146.71	27.621	36.070	575.44	13.744	19.458	0.041352	vapor
553.15	0.10000	0.021803	45.865	50.079	54.665	146.75	27.628	36.075	575.77	13.690	19.486	0.041422	vapor
553.82	0.10000	0.021777	45.920	50.097	54.689	146.79	27.634	36.081	576.10	13.636	19.514	0.041491	vapor
554.49	0.10000	0.021750	45.976	50.116	54.713	146.84	27.641	36.087	576.44	13.583	19.541	0.041561	vapor
555.15	0.10000	0.021724	46.032	50.134	54.738	146.88	27.647	36.093	576.77	13.529	19.569	0.041630	vapor
555.82	0.10000	0.021698	46.088	50.153	54.762	146.92	27.654	36.098	577.10	13.477	19.596	0.041700	vapor
556.49	0.10000	0.021671	46.144	50.171	54.786	146.97	27.660	36.104	577.43	13.424	19.624	0.041770	vapor
557.15	0.10000	0.021645	46.200	50.190	54.810	147.01	27.666	36.110	577.77	13.372	19.651	0.041840	vapor
557.82	0.10000	0.021619	46.256	50.208	54.834	147.05	27.673	36.116	578.10	13.320	19.679	0.041910	vapor
558.49	0.10000	0.021593	46.311	50.227	54.858	147.10	27.679	36.122	578.43	13.269	19.706	0.041980	vapor
559.15	0.10000	0.021567	46.367	50.245	54.882	147.14	27.686	36.128	578.76	13.217	19.734	0.042050	vapor
559.82	0.10000	0.021541	46.423	50.264	54.906	147.18	27.692	36.134	579.09	13.166	19.761	0.042120	vapor
560.49	0.10000	0.021515	46.479	50.282	54.930	147.23	27.699	36.139	579.42	13.116	19.789	0.042190	vapor
561.15	0.10000	0.021489	46.535	50.301	54.954	147.27	27.706	36.145	579.75	13.065	19.817	0.042260	vapor
561.82	0.10000	0.021464	46.591	50.319	54.978	147.31	27.712	36.151	580.08	13.015	19.844	0.042330	vapor
562.49	0.10000	0.021438	46.647	50.338	55.002	147.35	27.719	36.157	580.41	12.965	19.872	0.042400	vapor
563.15	0.10000	0.021412	46.702	50.356	55.027	147.40	27.725	36.163	580.74	12.916	19.899	0.042470	vapor
563.82	0.10000	0.021387	46.758	50.375	55.051	147.44	27.732	36.169	581.07	12.867	19.927	0.042541	vapor
564.49	0.10000	0.021361	46.814	50.393	55.075	147.48	27.738	36.175	581.40	12.818	19.954	0.042611	vapor
565.15	0.10000	0.021336	46.870	50.412	55.099	147.53	27.745	36.181	581.73	12.769	19.982	0.042681	vapor
565.82	0.10000	0.021310	46.926	50.430	55.123	147.57	27.752	36.187	582.06	12.721	20.010	0.042752	vapor
566.49	0.10000	0.021285	46.982	50.449	55.147	147.61	27.758	36.193	582.39	12.673	20.037	0.042822	vapor
567.15	0.10000	0.021260	47.037	50.468	55.171	147.65	27.765	36.199	582.72	12.625	20.065	0.042893	vapor
567.82	0.10000	0.021234	47.093	50.486	55.195	147.70	27.771	36.205	583.05	12.577	20.092	0.042964	vapor
568.49	0.10000	0.021209	47.149	50.505	55.220	147.74	27.778	36.211	583.37	12.530	20.120	0.043034	vapor
569.15	0.10000	0.021184	47.205	50.523	55.244	147.78	27.785	36.217	583.70	12.483	20.147	0.043105	vapor
569.82	0.10000	0.021159	47.261	50.542	55.268	147.82	27.791	36.223	584.03	12.436	20.175	0.043176	vapor
570.49	0.10000	0.021134	47.316	50.560	55.292	147.87	27.798	36.230	584.36	12.390	20.203	0.043246	vapor
571.15	0.10000	0.021109	47.372	50.579	55.316	147.91	27.805	36.236	584.68	12.344	20.230	0.043317	vapor
571.82	0.10000	0.021085	47.428	50.597	55.340	147.95	27.812	36.242	585.01	12.298	20.258	0.043388	vapor
